class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_10,diss_20,diss_25,diss_5,diss_a,rough_10,rough_20,rough_25,rough_5,rough_a,slp_d,sp_10,sp_20,sp_25,sp_5,sp_a,dem_m
not,2476.23999,5.4500799,-1.5466,0.0265115,1.57311,0.356848,0.412375,0.456051,0.366075,0.397838,3.4153399,5.1363101,5.6332102,2.4005899,4.1463599,14.4538002,-2.72211,-6.09937,-7.0194101,-1.5051301,-4.3365002,625.0089722
not,2684.040039,7.8200598,0,0.0177298,0.0177298,0.761271,0.856108,0.85175,0.584606,0.763434,1.47948,2.77773,3.1694,0.721397,2.0369999,1.38032,0.84967,5.4495802,7.9342699,0.0861206,3.57991,657.1489868
not,1814.27002,7.8519902,0.62723,0.0666165,-0.560614,0.544382,0.366768,0.343555,0.572495,0.4568,3.87555,5.0570798,5.48663,2.8111401,4.3076,19.2940998,0.726166,-3.77228,-8.0053997,0.413086,-2.65961,374.598999
not,1516.219971,7.5776401,-0.209064,-0.167984,0.0410806,0.558776,0.444866,0.460869,0.680589,0.536275,3.83776,4.8861799,5.1005301,2.5420201,4.09162,11.2874002,2.05966,-7.7217398,-12.1431999,0.94577,-4.21487,492.9970093
not,2100.679932,7.31639,-0.0420464,-0.0011768,0.0408696,0.493331,0.678916,0.748332,0.427408,0.586996,1.8119299,2.5703499,3.2143199,1.38421,2.2451999,4.5595102,-0.272217,0.740173,2.3996601,-0.24707,0.655136,917.1469727
not,665.427002,5.8309999,0.355059,-0.131743,-0.486802,0.81156,0.775825,0.779383,0.757694,0.781115,2.7321701,3.64481,4.1027598,2.1601801,3.1599801,9.9878302,3.3526001,5.4281602,6.9805298,1.8596801,4.4052401,894.71698
not,2177.840088,6.8723202,-0.334412,-0.260233,0.074179,0.504891,0.53419,0.523207,0.471281,0.508392,3.3546,4.6143799,5.0613899,2.41096,3.8603301,13.9638004,-0.104126,3.1032701,4.5942998,-0.244995,1.83711,599.5079956
not,24.8097992,6.45713,0.836106,0.472728,-0.363378,0.0529798,0.0514735,0.0633006,0.109999,0.0694381,3.2055299,4.5364799,4.8761501,1.68523,3.57585,2.8710401,-6.1468801,-19.1004009,-24.8295002,-1.04196,-12.7797003,426.6180115
not,539.7020264,6.25983,0.12531,-0.0022564,-0.127567,0.462787,0.440626,0.45924,0.495224,0.464469,3.4892199,4.65379,5.0809302,2.47615,3.92502,12.9195004,1.0103101,5.9024701,8.2843599,0.116211,3.8283401,582.7780151
not,849.3850098,6.7144799,0.17979,0.19762,0.0178295,0.501142,0.404507,0.393409,0.479464,0.44463,2.15886,3.4166901,3.7720399,1.31015,2.6644399,2.08445,-0.072937,-0.424988,-1.39667,0.0818481,-0.453186,654.0599976
not,2279.320068,6.1315098,-0.041745,0.49491,0.536655,0.567329,0.512559,0.521785,0.455943,0.514404,3.9122901,4.9621401,4.9591799,2.8432901,4.16923,18.0557003,3.7016301,10.5917997,9.3674297,0.0464172,5.9268098,491.3039856
not,1668.849976,5.5231099,0.0042197,0.0236174,0.0193977,0.664175,0.578385,0.59091,0.536436,0.592476,2.2509899,3.1742301,3.6061499,1.598,2.65734,6.8316202,1.09851,3.75562,4.5921001,-0.0050659,2.3602901,823.4099731
